Day,Entity,Slot,Variant,Sends (Android Push),Total Opens (Android Push),Direct Opens (Android Push),Sends (iOS Push),Total Opens (iOS Push),Direct Opens (iOS Push)
Saturday,DIL,12noon,VAR1,267044,1680,591,114482,380,126
Saturday,MegaSFIL,4PM,VAR1,268004,1713,789,137922,466,188
Saturday,DIL,4PM,VAR1,266699,1592,688,115250,311,132
Saturday,DIL,6PM,VAR1,266402,2281,634,115224,567,146
Saturday,RoI,6PM,VAR1,478910,2957,776,239424,553,188
Saturday,RoI,12noon,VAR1,477952,2117,819,231262,369,152
Saturday,RoI,4PM,VAR1,478896,1679,724,238870,302,131
Saturday,MegaCity,12noon,VAR1,268808,2274,867,137724,629,219
Saturday,MegaSFIL,6PM,VAR1,267602,2996,832,137762,822,186
Saturday,MegaCity,12noon,VAR2,270378,2400,943,137097,626,191
Saturday,MegaSFIL,4PM,VAR2,269502,1834,895,137362,441,181
Saturday,MegaSFIL,6PM,VAR2,269108,2869,840,137228,921,270
Saturday,DIL,12noon,VAR2,266803,1907,856,115348,440,189
Saturday,DIL,4PM,VAR2,266444,1500,734,116095,324,165
Saturday,DIL,6PM,VAR2,266172,2367,677,116108,580,169
Saturday,RoI,12noon,VAR2,477508,2130,825,231882,343,145
Saturday,RoI,4PM,VAR2,478258,1677,701,239460,275,120
Saturday,RoI,6PM,VAR2,478137,3057,931,240056,488,178
Sunday,MegaCity,12noon,VAR1,270269,2372,883,138254,695,223
Sunday,DIL,12noon,VAR1,267898,1785,636,114331,406,147
Sunday,RoI,12noon,VAR1,479973,2210,760,231915,352,141
Sunday,MegaSFIL,4PM,VAR1,269101,1951,804,138360,594,221
Sunday,DIL,4PM,VAR1,267342,1536,579,115003,353,133
Sunday,RoI,4PM,VAR1,480006,1776,699,239490,295,139
Sunday,MegaSFIL,6PM,VAR1,268670,1899,832,138132,651,249
Sunday,DIL,6PM,VAR1,267049,1350,546,114949,323,139
Sunday,RoI,6PM,VAR1,480020,2963,840,239972,454,147
Sunday,MegaSFIL,8PM,VAR1,268227,2485,866,137867,810,262
Sunday,DIL,8PM,VAR1,266753,1734,606,114775,445,155
Sunday,MegaCity,12noon,VAR2,270492,2362,833,137368,655,211
Sunday,DIL,12noon,VAR2,266685,1714,553,115351,464,185
Sunday,RoI,12noon,VAR2,477648,2118,738,231615,355,126
Sunday,MegaSFIL,4PM,VAR2,269309,2165,1002,137515,606,207
Sunday,DIL,4PM,VAR2,266069,1457,547,116015,378,147
Sunday,RoI,4PM,VAR2,477643,1897,741,239091,326,167
Sunday,MegaSFIL,6PM,VAR2,268877,2215,1093,137317,595,248
Sunday,DIL,6PM,VAR2,265765,1455,663,115943,394,167
Sunday,RoI,6PM,VAR2,477518,2847,731,239643,540,184
Sunday,MegaSFIL,8PM,VAR2,268426,2432,810,137062,789,259
Sunday,DIL,8PM,VAR2,265485,1715,565,115753,467,146
Monday,DIL,12noon,VAR1,267301,1381,604,114728,292,109
Monday,MegaSFIL,4PM,VAR1,270643,1542,817,138434,427,200
Monday,DIL,4PM,VAR1,266708,1216,577,115521,281,136
Monday,DIL,6PM,VAR1,266470,1519,542,115504,378,135
Monday,RoI,6PM,VAR1,479088,1998,628,239385,359,146
Monday,RoI,12noon,VAR1,479429,1561,632,231349,280,126
Monday,RoI,4PM,VAR1,479180,1382,662,238895,270,141
Monday,MegaCity,12noon,VAR1,271779,1781,813,138182,540,219
Monday,MegaSFIL,6PM,VAR1,270298,2081,762,138277,601,199
Monday,MegaCity,12noon,VAR2,271372,1742,749,137731,470,170
Monday,MegaSFIL,4PM,VAR2,270267,1677,957,137948,388,178
Monday,MegaSFIL,6PM,VAR2,269873,2172,835,137830,605,192
Monday,DIL,12noon,VAR2,267981,1331,619,114809,364,189
Monday,DIL,4PM,VAR2,267477,1253,616,115558,297,142
Monday,DIL,6PM,VAR2,267240,1569,484,115513,402,143
Monday,RoI,12noon,VAR2,480078,1598,677,232045,277,137
Monday,RoI,4PM,VAR2,479883,1481,719,239589,309,163
Monday,RoI,6PM,VAR2,479885,2132,779,240207,370,143
